Description,code_type,code_new
ACUTE GASTRIC ULCER NOS,readv2_5,re_J110z
ACUTE GASTRIC ULCER NOS,readv2_7,re_J110z00
ACUTE GASTRIC ULCER UNSPECIFIED,aurmedcode,au_302471016
ACUTE GASTRIC ULCER UNSPECIFIED,conceptid,co_196633000
ACUTE GASTRIC ULCER UNSPECIFIED,medcode,me_24342
ACUTE GASTRIC ULCER UNSPECIFIED,readv2_5,re_J110y
ACUTE GASTRIC ULCER UNSPECIFIED,readv2_7,re_J110y00
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,aurmedcode,au_508664015
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,conceptid,co_155682002
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,conceptid,co_196629007
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,conceptid,co_89748001
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,medcode,me_30054
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,readv2_5,re_J1101
ACUTE GASTRIC ULCER WITH HAEMORRHAGE,readv2_7,re_J110100
ACUTE GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_495273013
ACUTE GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_48974009
ACUTE GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_71403
ACUTE GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1103
ACUTE GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J110300
ACUTE GASTRIC ULCER WITH OBSTRUCTION,aurmedcode,au_302470015
ACUTE GASTRIC ULCER WITH OBSTRUCTION,conceptid,co_196632005
ACUTE GASTRIC ULCER WITH OBSTRUCTION,medcode,me_109546
ACUTE GASTRIC ULCER WITH OBSTRUCTION,readv2_5,re_J1104
ACUTE GASTRIC ULCER WITH OBSTRUCTION,readv2_7,re_J110400
ACUTE GASTRIC ULCER WITH PERFORATION,aurmedcode,au_33419017
ACUTE GASTRIC ULCER WITH PERFORATION,conceptid,co_196630002
ACUTE GASTRIC ULCER WITH PERFORATION,conceptid,co_19850005
ACUTE GASTRIC ULCER WITH PERFORATION,medcode,me_14671
ACUTE GASTRIC ULCER WITH PERFORATION,readv2_5,re_J1102
ACUTE GASTRIC ULCER WITH PERFORATION,readv2_7,re_J110200
ACUTE GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302463015
ACUTE GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196628004
ACUTE GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_64165
ACUTE GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1100
ACUTE GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J110000
ACUTE GASTROJEJUNAL ULCER,aurmedcode,au_302585011
ACUTE GASTROJEJUNAL ULCER,conceptid,co_196707000
ACUTE GASTROJEJUNAL ULCER,ctv3,ct_Y308s
ACUTE GASTROJEJUNAL ULCER,medcode,me_45184
ACUTE GASTROJEJUNAL ULCER,readv2_5,re_J140.
ACUTE GASTROJEJUNAL ULCER,readv2_7,re_J140.00
ACUTE GASTROJEJUNAL ULCER NOS,aurmedcode,au_302594017
ACUTE GASTROJEJUNAL ULCER NOS,conceptid,co_196714003
ACUTE GASTROJEJUNAL ULCER NOS,ctv3,ct_Y308t
ACUTE GASTROJEJUNAL ULCER NOS,medcode,me_42274
ACUTE GASTROJEJUNAL ULCER NOS,readv2_5,re_J140z
ACUTE GASTROJEJUNAL ULCER NOS,readv2_7,re_J140z00
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE,aurmedcode,au_499719010
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE,conceptid,co_63954007
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE,medcode,me_96628
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE,readv2_5,re_J1401
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE,readv2_7,re_J140100
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_504674011
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_81387001
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_106330
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1403
ACUTE GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J140300
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,aurmedcode,au_110704012
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,conceptid,co_196710007
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,conceptid,co_66636001
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,medcode,me_102177
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,readv2_5,re_J1402
ACUTE GASTROJEJUNAL ULCER WITH PERFORATION,readv2_7,re_J140200
ACUTE GJU + H'GE + PERFORATION,ctv3,ct_Y308w
ACUTE GJU + HAEMORRHAGE,ctv3,ct_Y308y
ACUTE GJU + PERFORATION,ctv3,ct_Y308x
ACUTE GU + H'GE + PERFORATION,ctv3,ct_Y303k
ACUTE GU + HAEMORRHAGE,ctv3,ct_Y30bb
ACUTE GU + NO COMPLICATION,ctv3,ct_Y303l
ACUTE GU + OBSTRUCTION,ctv3,ct_Y303i
ACUTE GU + PERFORATION,ctv3,ct_Y303j
ACUTE GU UNSPECIFIED,ctv3,ct_Y303h
ACUTE PEPTIC ULCER,aurmedcode,au_302546016
ACUTE PEPTIC ULCER,conceptid,co_196682000
ACUTE PEPTIC ULCER,ctv3,ct_Y307x
ACUTE PEPTIC ULCER,medcode,me_32856
ACUTE PEPTIC ULCER,readv2_5,re_J130.
ACUTE PEPTIC ULCER,readv2_7,re_J130.00
ACUTE PEPTIC ULCER NOS,aurmedcode,au_302555018
ACUTE PEPTIC ULCER NOS,conceptid,co_155705005
ACUTE PEPTIC ULCER NOS,conceptid,co_196689009
ACUTE PEPTIC ULCER NOS,ctv3,ct_Y307y
ACUTE PEPTIC ULCER NOS,medcode,me_50048
ACUTE PEPTIC ULCER NOS,readv2_5,re_J130z
ACUTE PEPTIC ULCER NOS,readv2_7,re_J130z00
ACUTE PEPTIC ULCER UNSPECIFIED,aurmedcode,au_302554019
ACUTE PEPTIC ULCER UNSPECIFIED,conceptid,co_196688001
ACUTE PEPTIC ULCER UNSPECIFIED,ctv3,ct_Y307z
ACUTE PEPTIC ULCER UNSPECIFIED,medcode,me_67711
ACUTE PEPTIC ULCER UNSPECIFIED,readv2_5,re_J130y
ACUTE PEPTIC ULCER UNSPECIFIED,readv2_7,re_J130y00
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,aurmedcode,au_470365013
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_12274003
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_155702008
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_196684004
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,medcode,me_44637
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,readv2_5,re_J1301
ACUTE PEPTIC ULCER WITH HAEMORRHAGE,readv2_7,re_J130100
ACUTE PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_361430016
ACUTE PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_111353003
ACUTE PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_45304
ACUTE PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1303
ACUTE PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J130300
ACUTE PEPTIC ULCER WITH PERFORATION,aurmedcode,au_131281018
ACUTE PEPTIC ULCER WITH PERFORATION,conceptid,co_155703003
ACUTE PEPTIC ULCER WITH PERFORATION,conceptid,co_196685003
ACUTE PEPTIC ULCER WITH PERFORATION,conceptid,co_266502003
ACUTE PEPTIC ULCER WITH PERFORATION,conceptid,co_79118000
ACUTE PEPTIC ULCER WITH PERFORATION,medcode,me_5521
ACUTE PEPTIC ULCER WITH PERFORATION,readv2_5,re_J1302
ACUTE PEPTIC ULCER WITH PERFORATION,readv2_7,re_J130200
ACUTE PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302547013
ACUTE PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196683005
ACUTE PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_68661
ACUTE PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1300
ACUTE PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J130000
ACUTE PU + H'GE + PERFORATION,ctv3,ct_Y3081
ACUTE PU + HAEMORRHAGE,ctv3,ct_Y3083
ACUTE PU + NO COMPLICATION,ctv3,ct_Y3084
ACUTE PU + PERFORATION,ctv3,ct_Y3082
ANASTOMOTIC ULCER,conceptid,co_16121001
ANASTOMOTIC ULCER,readv2_5,re_J14..
ANTI-PLATELET INDUCED GAST ULC,ctv3,ct_Yaoda
ANTI-PLATELET INDUCED GASTRIC ULCER,aurmedcode,au_2649532016
ANTI-PLATELET INDUCED GASTRIC ULCER,conceptid,co_424301005
ANTI-PLATELET INDUCED GASTRIC ULCER,medcode,me_63001
ANTI-PLATELET INDUCED GASTRIC ULCER,readv2_5,re_J112.
ANTI-PLATELET INDUCED GASTRIC ULCER,readv2_7,re_J112.00
BALFOUR EXCISION GASTRIC ULCER,ctv3,ct_Y21Wy
BALFOUR EXCISION OF GASTRIC ULCER,aurmedcode,au_502691000006110
BALFOUR EXCISION OF GASTRIC ULCER,conceptid,co_287832000
BALFOUR EXCISION OF GASTRIC ULCER,medcode,me_92695
BALFOUR EXCISION OF GASTRIC ULCER,readv2_5,re_76121
BALFOUR EXCISION OF GASTRIC ULCER,readv2_7,re_7612111
BLEEDING ACUTE GASTRIC ULCER,aurmedcode,au_1235493010
BLEEDING ACUTE GASTRIC ULCER,ctv3,ct_Y30bc
BLEEDING ACUTE GASTRIC ULCER,medcode,me_11124
BLEEDING ACUTE GASTRIC ULCER,readv2_7,re_J110111
BLEEDING CHRONIC DU,ctv3,ct_Y30bf
BLEEDING CHRONIC DUODENAL ULCER,aurmedcode,au_1235462014
BLEEDING CHRONIC DUODENAL ULCER,conceptid,co_89469000
BLEEDING CHRONIC DUODENAL ULCER,medcode,me_18625
BLEEDING CHRONIC DUODENAL ULCER,readv2_5,re_J1211
BLEEDING CHRONIC DUODENAL ULCER,readv2_7,re_J121111
BLEEDING CHRONIC GASTRIC ULCER,aurmedcode,au_1231704018
BLEEDING CHRONIC GASTRIC ULCER,conceptid,co_57246001
BLEEDING CHRONIC GASTRIC ULCER,ctv3,ct_Y30ba
BLEEDING CHRONIC GASTRIC ULCER,medcode,me_36583
BLEEDING CHRONIC GASTRIC ULCER,readv2_5,re_J1111
BLEEDING CHRONIC GASTRIC ULCER,readv2_7,re_J111111
CAUTERY RESECT GASTRIC ULCER,ctv3,ct_Y21Yt
CHRONIC DU + H'GE + PERFORAT.,ctv3,ct_Y3075
CHRONIC DU + NO COMPLICATION,ctv3,ct_Y3076
CHRONIC DU + OBSTRUCTION,ctv3,ct_Y3074
CHRONIC DU UNSPECIFIED,ctv3,ct_Y3073
CHRONIC DUODENAL ULCER,aurmedcode,au_206556016
CHRONIC DUODENAL ULCER,conceptid,co_128286008
CHRONIC DUODENAL ULCER,ctv3,ct_Y3071
CHRONIC DUODENAL ULCER,medcode,me_9853
CHRONIC DUODENAL ULCER,readv2_5,re_J121.
CHRONIC DUODENAL ULCER,readv2_7,re_J121.00
CHRONIC DUODENAL ULCER NOS,aurmedcode,au_302527017
CHRONIC DUODENAL ULCER NOS,conceptid,co_155699001
CHRONIC DUODENAL ULCER NOS,conceptid,co_196668000
CHRONIC DUODENAL ULCER NOS,ctv3,ct_Y3072
CHRONIC DUODENAL ULCER NOS,medcode,me_51406
CHRONIC DUODENAL ULCER NOS,readv2_5,re_J121z
CHRONIC DUODENAL ULCER NOS,readv2_7,re_J121z00
CHRONIC DUODENAL ULCER UNSPECIFIED,aurmedcode,au_302526014
CHRONIC DUODENAL ULCER UNSPECIFIED,conceptid,co_196667005
CHRONIC DUODENAL ULCER UNSPECIFIED,medcode,me_52138
CHRONIC DUODENAL ULCER UNSPECIFIED,readv2_5,re_J121y
CHRONIC DUODENAL ULCER UNSPECIFIED,readv2_7,re_J121y00
CHRONIC DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_486596015
CHRONIC DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_36975000
CHRONIC DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_71881
CHRONIC DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1213
CHRONIC DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J121300
CHRONIC DUODENAL ULCER WITH OBSTRUCTION,aurmedcode,au_302525013
CHRONIC DUODENAL ULCER WITH OBSTRUCTION,conceptid,co_196666001
CHRONIC DUODENAL ULCER WITH OBSTRUCTION,medcode,me_44073
CHRONIC DUODENAL ULCER WITH OBSTRUCTION,readv2_5,re_J1214
CHRONIC DUODENAL ULCER WITH OBSTRUCTION,readv2_7,re_J121400
CHRONIC DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302514016
CHRONIC DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196661006
CHRONIC DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_33438
CHRONIC DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1210
CHRONIC DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J121000
CHRONIC GASTRIC ULCER,aurmedcode,au_158231014
CHRONIC GASTRIC ULCER,conceptid,co_95530000
CHRONIC GASTRIC ULCER,ctv3,ct_Y303r
CHRONIC GASTRIC ULCER,medcode,me_18654
CHRONIC GASTRIC ULCER,readv2_5,re_J111.
CHRONIC GASTRIC ULCER,readv2_7,re_J111.00
CHRONIC GASTRIC ULCER NOS,aurmedcode,au_302483019
CHRONIC GASTRIC ULCER NOS,conceptid,co_155689006
CHRONIC GASTRIC ULCER NOS,conceptid,co_196641000
CHRONIC GASTRIC ULCER NOS,ctv3,ct_Y303s
CHRONIC GASTRIC ULCER NOS,medcode,me_44309
CHRONIC GASTRIC ULCER NOS,readv2_5,re_J111z
CHRONIC GASTRIC ULCER NOS,readv2_7,re_J111z00
CHRONIC GASTRIC ULCER UNSPECIFIED,aurmedcode,au_302482012
CHRONIC GASTRIC ULCER UNSPECIFIED,conceptid,co_196640004
CHRONIC GASTRIC ULCER UNSPECIFIED,medcode,me_64556
CHRONIC GASTRIC ULCER UNSPECIFIED,readv2_5,re_J111y
CHRONIC GASTRIC ULCER UNSPECIFIED,readv2_7,re_J111y00
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE,aurmedcode,au_497833010
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE,conceptid,co_155686004
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE,medcode,me_63582
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE,readv2_7,re_J111100
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_554311000006114
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_76181002
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_71897
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1113
CHRONIC GASTRIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J111300
CHRONIC GASTRIC ULCER WITH OBSTRUCTION,aurmedcode,au_302481017
CHRONIC GASTRIC ULCER WITH OBSTRUCTION,conceptid,co_196639001
CHRONIC GASTRIC ULCER WITH OBSTRUCTION,medcode,me_67356
CHRONIC GASTRIC ULCER WITH OBSTRUCTION,readv2_5,re_J1114
CHRONIC GASTRIC ULCER WITH OBSTRUCTION,readv2_7,re_J111400
CHRONIC GASTRIC ULCER WITH PERFORATION,aurmedcode,au_52347016
CHRONIC GASTRIC ULCER WITH PERFORATION,conceptid,co_155687008
CHRONIC GASTRIC ULCER WITH PERFORATION,conceptid,co_31301004
CHRONIC GASTRIC ULCER WITH PERFORATION,medcode,me_53336
CHRONIC GASTRIC ULCER WITH PERFORATION,readv2_5,re_J1112
CHRONIC GASTRIC ULCER WITH PERFORATION,readv2_7,re_J111200
CHRONIC GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302473018
CHRONIC GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196635007
CHRONIC GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_48946
CHRONIC GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1110
CHRONIC GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J111000
CHRONIC GASTROJEJUNAL ULCER,aurmedcode,au_206558015
CHRONIC GASTROJEJUNAL ULCER,conceptid,co_128288009
CHRONIC GASTROJEJUNAL ULCER,ctv3,ct_Y308k
CHRONIC GASTROJEJUNAL ULCER,medcode,me_96090
CHRONIC GASTROJEJUNAL ULCER,readv2_5,re_J141.
CHRONIC GASTROJEJUNAL ULCER,readv2_7,re_J141.00
CHRONIC GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_494304013
CHRONIC GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_45640006
CHRONIC GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_110244
CHRONIC GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1413
CHRONIC GASTROJEJUNAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J141300
CHRONIC GJU + H'GE + PERFORAT.,ctv3,ct_Y308o
CHRONIC GU + H'GE + PERFORAT.,ctv3,ct_Y303v
CHRONIC GU + HAEMORRHAGE,ctv3,ct_Y30bZ
CHRONIC GU + NO COMPLICATION,ctv3,ct_Y303w
CHRONIC GU + OBSTRUCTION,ctv3,ct_Y303u
CHRONIC GU + PERFORATION,ctv3,ct_Y3066
CHRONIC GU UNSPECIFIED,ctv3,ct_Y303t
CHRONIC PEPTIC ULCER,aurmedcode,au_206557013
CHRONIC PEPTIC ULCER,conceptid,co_128287004
CHRONIC PEPTIC ULCER,ctv3,ct_Y307p
CHRONIC PEPTIC ULCER,medcode,me_40997
CHRONIC PEPTIC ULCER,readv2_5,re_J131.
CHRONIC PEPTIC ULCER,readv2_7,re_J131.00
CHRONIC PEPTIC ULCER NOS,aurmedcode,au_302564011
CHRONIC PEPTIC ULCER NOS,conceptid,co_155709004
CHRONIC PEPTIC ULCER NOS,conceptid,co_196696006
CHRONIC PEPTIC ULCER NOS,ctv3,ct_Y307q
CHRONIC PEPTIC ULCER NOS,medcode,me_69663
CHRONIC PEPTIC ULCER NOS,readv2_5,re_J131z
CHRONIC PEPTIC ULCER NOS,readv2_7,re_J131z00
CHRONIC PEPTIC ULCER UNSPECIFIED,aurmedcode,au_302563017
CHRONIC PEPTIC ULCER UNSPECIFIED,conceptid,co_196695005
CHRONIC PEPTIC ULCER UNSPECIFIED,medcode,me_70390
CHRONIC PEPTIC ULCER UNSPECIFIED,readv2_5,re_J131y
CHRONIC PEPTIC ULCER UNSPECIFIED,readv2_7,re_J131y00
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,aurmedcode,au_495344012
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_155706006
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_196691001
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,conceptid,co_49232000
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,medcode,me_53126
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,readv2_5,re_J1311
CHRONIC PEPTIC ULCER WITH HAEMORRHAGE,readv2_7,re_J131100
CHRONIC PEPTIC ULCER WITH OBSTRUCTION,aurmedcode,au_302562010
CHRONIC PEPTIC ULCER WITH OBSTRUCTION,conceptid,co_196694009
CHRONIC PEPTIC ULCER WITH OBSTRUCTION,medcode,me_52313
CHRONIC PEPTIC ULCER WITH OBSTRUCTION,readv2_5,re_J1314
CHRONIC PEPTIC ULCER WITH OBSTRUCTION,readv2_7,re_J131400
CHRONIC PEPTIC ULCER WITH PERFORATION,aurmedcode,au_6875014
CHRONIC PEPTIC ULCER WITH PERFORATION,conceptid,co_155707002
CHRONIC PEPTIC ULCER WITH PERFORATION,conceptid,co_196692008
CHRONIC PEPTIC ULCER WITH PERFORATION,conceptid,co_3483000
CHRONIC PEPTIC ULCER WITH PERFORATION,medcode,me_37620
CHRONIC PEPTIC ULCER WITH PERFORATION,readv2_5,re_J1312
CHRONIC PEPTIC ULCER WITH PERFORATION,readv2_7,re_J131200
CHRONIC PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302556017
CHRONIC PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196690000
CHRONIC PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_99430
CHRONIC PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1310
CHRONIC PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J131000
CHRONIC PU + HAEMORRHAGE,ctv3,ct_Y307v
CHRONIC PU + NO COMPLICATION,ctv3,ct_Y307w
CHRONIC PU + OBSTRUCTION,ctv3,ct_Y307s
CHRONIC PU + PERFORATION,ctv3,ct_Y307u
CHRONIC PU UNSPECIFIED,ctv3,ct_Y307r
CLOSURE OF GASTRIC ULCER NEC,aurmedcode,au_394147019
CLOSURE OF GASTRIC ULCER NEC,conceptid,co_173841001
CLOSURE OF GASTRIC ULCER NEC,conceptid,co_173843003
CLOSURE OF GASTRIC ULCER NEC,conceptid,co_265373003
CLOSURE OF GASTRIC ULCER NEC,ctv3,ct_Y21Wm
CLOSURE OF GASTRIC ULCER NEC,medcode,me_64014
CLOSURE OF GASTRIC ULCER NEC,readv2_5,re_761J1
CLOSURE OF GASTRIC ULCER NEC,readv2_7,re_761J100
CLOSURE OF PERFORATED DUODENAL ULCER,aurmedcode,au_269374017
CLOSURE OF PERFORATED DUODENAL ULCER,conceptid,co_173889005
CLOSURE OF PERFORATED DUODENAL ULCER,medcode,me_4741
