Description,code_type,code_new
CROHN'S DISEASE OF THE SMALL BOWEL NOS,medcode,me_9359
CROHN'S DISEASE OF THE SMALL BOWEL NOS,readv2_5,re_J400z
CROHN'S DISEASE OF THE SMALL BOWEL NOS,readv2_7,re_J400z00
CROHN'S DISEASE OF THE TERMINAL ILEUM,aurmedcode,au_601091000006115
CROHN'S DISEASE OF THE TERMINAL ILEUM,medcode,me_28476
CROHN'S DISEASE OF THE TERMINAL ILEUM,readv2_5,re_J4002
CROHN'S DISEASE OF THE TERMINAL ILEUM,readv2_7,re_J400200
CROHN'S DISEASE-ILEUM NOS,ctv3,ct_Y30GF
CROHN'S DISEASE-ILEUM UNSPECIF,ctv3,ct_Y30GG
CROHN'S REGIONAL ENTERITIS,ctv3,ct_Y30G5
DISTAL COLITIS,ctv3,ct_Y30CQ
ENTEROCOLITIS,conceptid,co_43752006
ENTEROCOLITIS,ctv3,ct_YaYBp
EXAC CROHN'S DIS LARGE INTEST,ctv3,ct_YanIj
EXAC CROHN'S DIS SMALL INTEST,ctv3,ct_YanIi
EXACERBATION OF CROHN'S DISEASE OF LARGE INTESTINE,aurmedcode,au_2532950019
EXACERBATION OF CROHN'S DISEASE OF LARGE INTESTINE,conceptid,co_414153008
EXACERBATION OF CROHN'S DISEASE OF LARGE INTESTINE,medcode,me_39037
EXACERBATION OF CROHN'S DISEASE OF LARGE INTESTINE,readv2_5,re_J4012
EXACERBATION OF CROHN'S DISEASE OF LARGE INTESTINE,readv2_7,re_J401200
EXACERBATION OF CROHN'S DISEASE OF SMALL INTESTINE,aurmedcode,au_2532958014
EXACERBATION OF CROHN'S DISEASE OF SMALL INTESTINE,conceptid,co_414154002
EXACERBATION OF CROHN'S DISEASE OF SMALL INTESTINE,medcode,me_36913
EXACERBATION OF CROHN'S DISEASE OF SMALL INTESTINE,readv2_5,re_J4005
EXACERBATION OF CROHN'S DISEASE OF SMALL INTESTINE,readv2_7,re_J400500
EXACERBATION OF ULCERATIVE COLITIS,aurmedcode,au_2532953017
EXACERBATION OF ULCERATIVE COLITIS,conceptid,co_414156000
EXACERBATION OF ULCERATIVE COLITIS,medcode,me_22516
EXACERBATION OF ULCERATIVE COLITIS,readv2_5,re_J4104
EXACERBATION OF ULCERATIVE COLITIS,readv2_7,re_J410400
EXACERBATION ULCERATIVE COLIT,ctv3,ct_YanIk
GRANULOMATOUS ENTERITIS,aurmedcode,au_56770011
GRANULOMATOUS ENTERITIS,conceptid,co_196975001
GRANULOMATOUS ENTERITIS,ctv3,ct_Y30G0
GRANULOMATOUS ENTERITIS,medcode,me_51578
GRANULOMATOUS ENTERITIS,readv2_7,re_J40..12
IDIOPATHIC PROCTOCOLITIS,aurmedcode,au_2579429013
IDIOPATHIC PROCTOCOLITIS,conceptid,co_64766004
IDIOPATHIC PROCTOCOLITIS,conceptid,co_68195006
IDIOPATHIC PROCTOCOLITIS,ctv3,ct_Y30GS
IDIOPATHIC PROCTOCOLITIS,medcode,me_5133
IDIOPATHIC PROCTOCOLITIS,readv2_5,re_J41..
IDIOPATHIC PROCTOCOLITIS,readv2_7,re_J41..00
IDIOPATHIC PROCTOCOLITIS NOS,aurmedcode,au_302962016
IDIOPATHIC PROCTOCOLITIS NOS,conceptid,co_196996008
IDIOPATHIC PROCTOCOLITIS NOS,ctv3,ct_Y30GV
IDIOPATHIC PROCTOCOLITIS NOS,medcode,me_15207
IDIOPATHIC PROCTOCOLITIS NOS,readv2_5,re_J41z.
IDIOPATHIC PROCTOCOLITIS NOS,readv2_7,re_J41z.00
MUCOUS COLITIS AND/OR PROCTITIS,aurmedcode,au_696071000006114
MUCOUS COLITIS AND/OR PROCTITIS,conceptid,co_196985000
MUCOUS COLITIS AND/OR PROCTITIS,medcode,me_23950
MUCOUS COLITIS AND/OR PROCTITIS,readv2_7,re_J41..11
OROFACIAL CROHN'S DISEASE,aurmedcode,au_302322010
OROFACIAL CROHN'S DISEASE,conceptid,co_196578009
OROFACIAL CROHN'S DISEASE,ctv3,ct_Y21HK
OROFACIAL CROHN'S DISEASE,medcode,me_29616
OROFACIAL CROHN'S DISEASE,readv2_5,re_J08z9
OROFACIAL CROHN'S DISEASE,readv2_7,re_J08z900
OTHER IDIOPATH.PROCTOCOLIT.NOS,ctv3,ct_Y30GW
OTHER IDIOPATHIC PROCTOCOLITIS,aurmedcode,au_302959019
OTHER IDIOPATHIC PROCTOCOLITIS,conceptid,co_196993000
OTHER IDIOPATHIC PROCTOCOLITIS,conceptid,co_418130002
OTHER IDIOPATHIC PROCTOCOLITIS,ctv3,ct_Y30GX
OTHER IDIOPATHIC PROCTOCOLITIS,medcode,me_24550
OTHER IDIOPATHIC PROCTOCOLITIS,readv2_5,re_J41y.
OTHER IDIOPATHIC PROCTOCOLITIS,readv2_7,re_J41y.00
OTHER IDIOPATHIC PROCTOCOLITIS NOS,aurmedcode,au_302961011
OTHER IDIOPATHIC PROCTOCOLITIS NOS,conceptid,co_196995007
OTHER IDIOPATHIC PROCTOCOLITIS NOS,medcode,me_43090
OTHER IDIOPATHIC PROCTOCOLITIS NOS,readv2_5,re_J41yz
OTHER IDIOPATHIC PROCTOCOLITIS NOS,readv2_7,re_J41yz00
REGIONAL COLITIS,ctv3,ct_Y30GM
REGIONAL ENTERIT SMALL BOWEL,ctv3,ct_Y30G7
REGIONAL ENTERITIS,ctv3,ct_Y309v
REGIONAL ENTERITIS - CROHN'S,ctv3,ct_YabK4
REGIONAL ENTERITIS - CROHN'S DISEASE,aurmedcode,au_179501000006113
REGIONAL ENTERITIS - CROHN'S DISEASE,medcode,me_11286
REGIONAL ENTERITIS - CROHN'S DISEASE,readv2_7,re_J40..00
REGIONAL ENTERITIS NOS,aurmedcode,au_302947018
REGIONAL ENTERITIS NOS,conceptid,co_155763001
REGIONAL ENTERITIS NOS,ctv3,ct_Y30G8
REGIONAL ENTERITIS NOS,medcode,me_52449
REGIONAL ENTERITIS NOS,readv2_7,re_J40z.00
REGIONAL ENTERITIS OF THE COLON,aurmedcode,au_179521000006115
REGIONAL ENTERITIS OF THE COLON,medcode,me_62628
REGIONAL ENTERITIS OF THE COLON,readv2_5,re_J4010
REGIONAL ENTERITIS OF THE COLON,readv2_7,re_J401000
REGIONAL ENTERITIS OF THE DUODENUM,aurmedcode,au_497569010
REGIONAL ENTERITIS OF THE DUODENUM,medcode,me_71945
REGIONAL ENTERITIS OF THE DUODENUM,readv2_5,re_J4000
REGIONAL ENTERITIS OF THE DUODENUM,readv2_7,re_J400000
REGIONAL ENTERITIS OF THE JEJUNUM,aurmedcode,au_302937016
REGIONAL ENTERITIS OF THE JEJUNUM,conceptid,co_196976000
REGIONAL ENTERITIS OF THE JEJUNUM,medcode,me_63036
REGIONAL ENTERITIS OF THE JEJUNUM,readv2_5,re_J4001
REGIONAL ENTERITIS OF THE JEJUNUM,readv2_7,re_J400100
REGIONAL ENTERITIS OF THE LARGE BOWEL,aurmedcode,au_1495442018
REGIONAL ENTERITIS OF THE LARGE BOWEL,conceptid,co_155762006
REGIONAL ENTERITIS OF THE LARGE BOWEL,conceptid,co_196981009
REGIONAL ENTERITIS OF THE LARGE BOWEL,medcode,me_44426
REGIONAL ENTERITIS OF THE LARGE BOWEL,readv2_5,re_J401.
REGIONAL ENTERITIS OF THE LARGE BOWEL,readv2_7,re_J401.00
REGIONAL ENTERITIS OF THE RECTUM,aurmedcode,au_488238014
REGIONAL ENTERITIS OF THE RECTUM,medcode,me_64773
REGIONAL ENTERITIS OF THE RECTUM,readv2_5,re_J4011
REGIONAL ENTERITIS OF THE RECTUM,readv2_7,re_J401100
REGIONAL ENTERITIS OF THE SMALL BOWEL,aurmedcode,au_179571000006119
REGIONAL ENTERITIS OF THE SMALL BOWEL,medcode,me_51576
REGIONAL ENTERITIS OF THE SMALL BOWEL,readv2_5,re_J400.
REGIONAL ENTERITIS OF THE SMALL BOWEL,readv2_7,re_J400.00
REGIONAL ENTERITIS-DUODENUM,ctv3,ct_Y307I
REGIONAL ENTERITIS-JEJUNUM,ctv3,ct_Y30Fy
REGIONAL ENTERITIS-LARGE BOWEL,ctv3,ct_Y30G2
REGIONAL ENTERITIS-RECTUM,ctv3,ct_Y30GP
REGIONAL ILEOCOLITIS,aurmedcode,au_302946010
REGIONAL ILEOCOLITIS,conceptid,co_196983007
REGIONAL ILEOCOLITIS,ctv3,ct_Y30G1
REGIONAL ILEOCOLITIS,medcode,me_15773
REGIONAL ILEOCOLITIS,readv2_5,re_J402.
REGIONAL ILEOCOLITIS,readv2_7,re_J402.00
UC - ULCERATIVE COLITIS,ctv3,ct_Y30GU
ULCERATIVE (CHRONIC) ENTEROCOLITIS,aurmedcode,au_85891000006115
ULCERATIVE (CHRONIC) ENTEROCOLITIS,conceptid,co_235714007
ULCERATIVE (CHRONIC) ENTEROCOLITIS,medcode,me_30433
ULCERATIVE (CHRONIC) ENTEROCOLITIS,readv2_5,re_J411.
ULCERATIVE (CHRONIC) ENTEROCOLITIS,readv2_7,re_J411.00
ULCERATIVE (CHRONIC) ILEOCOLITIS,aurmedcode,au_85901000006116
ULCERATIVE (CHRONIC) ILEOCOLITIS,conceptid,co_196987008
ULCERATIVE (CHRONIC) ILEOCOLITIS,medcode,me_42822
ULCERATIVE (CHRONIC) ILEOCOLITIS,readv2_5,re_J412.
ULCERATIVE (CHRONIC) ILEOCOLITIS,readv2_7,re_J412.00
ULCERATIVE COLITIS,aurmedcode,au_107644019
ULCERATIVE COLITIS,conceptid,co_155764007
ULCERATIVE COLITIS,conceptid,co_196988003
ULCERATIVE COLITIS,conceptid,co_266447004
ULCERATIVE COLITIS,ctv3,ct_Y30CP
ULCERATIVE COLITIS,medcode,me_704
ULCERATIVE COLITIS,readv2_5,re_J4101
ULCERATIVE COLITIS,readv2_7,re_J410100
ULCERATIVE COLITIS AND/OR PROCTITIS,aurmedcode,au_85931000006112
ULCERATIVE COLITIS AND/OR PROCTITIS,conceptid,co_295046003
ULCERATIVE COLITIS AND/OR PROCTITIS,medcode,me_1784
ULCERATIVE COLITIS AND/OR PROCTITIS,readv2_7,re_J41..12
ULCERATIVE ENTEROCOLITIS,ctv3,ct_Y30AB
ULCERATIVE ILEOCOLITIS,aurmedcode,au_302953018
ULCERATIVE ILEOCOLITIS,conceptid,co_196992005
ULCERATIVE ILEOCOLITIS,ctv3,ct_Y30GZ
ULCERATIVE ILEOCOLITIS,medcode,me_48732
ULCERATIVE ILEOCOLITIS,readv2_5,re_J4100
ULCERATIVE ILEOCOLITIS,readv2_7,re_J410000
ULCERATIVE PANCOLITIS,aurmedcode,au_2872721013
ULCERATIVE PANCOLITIS,conceptid,co_444548001
ULCERATIVE PANCOLITIS,ctv3,ct_YavEt
ULCERATIVE PANCOLITIS,medcode,me_104259
ULCERATIVE PANCOLITIS,readv2_5,re_J413.
ULCERATIVE PANCOLITIS,readv2_7,re_J413.00
ULCERATIVE PROCTITIS,aurmedcode,au_496249010
ULCERATIVE PROCTITIS,ctv3,ct_Y30D7
ULCERATIVE PROCTITIS,medcode,me_8347
ULCERATIVE PROCTITIS,readv2_5,re_J4103
ULCERATIVE PROCTITIS,readv2_7,re_J410300
ULCERATIVE PROCTOCOLITIS,aurmedcode,au_435370011
ULCERATIVE PROCTOCOLITIS,conceptid,co_196986004
ULCERATIVE PROCTOCOLITIS,conceptid,co_196989006
ULCERATIVE PROCTOCOLITIS,ctv3,ct_Y30CS
ULCERATIVE PROCTOCOLITIS,medcode,me_6650
ULCERATIVE PROCTOCOLITIS,readv2_5,re_J410.
ULCERATIVE PROCTOCOLITIS,readv2_7,re_J410.00
ULCERATIVE PROCTOCOLITIS NOS,aurmedcode,au_302956014
ULCERATIVE PROCTOCOLITIS NOS,conceptid,co_196990002
ULCERATIVE PROCTOCOLITIS NOS,ctv3,ct_Y30GY
ULCERATIVE PROCTOCOLITIS NOS,medcode,me_33456
ULCERATIVE PROCTOCOLITIS NOS,readv2_5,re_J410z
ULCERATIVE PROCTOCOLITIS NOS,readv2_7,re_J410z00
ULCERATIVE RECTOSIGMOIDITIS,aurmedcode,au_496332018
ULCERATIVE RECTOSIGMOIDITIS,ctv3,ct_Y30CV
ULCERATIVE RECTOSIGMOIDITIS,medcode,me_24858
ULCERATIVE RECTOSIGMOIDITIS,readv2_5,re_J4102
ULCERATIVE RECTOSIGMOIDITIS,readv2_7,re_J410200
[X]OTHER CROHN'S DISEASE,aurmedcode,au_303761010
[X]OTHER CROHN'S DISEASE,conceptid,co_197534007
[X]OTHER CROHN'S DISEASE,conceptid,co_455601000000104
[X]OTHER CROHN'S DISEASE,ctv3,ct_YMAKK
[X]OTHER CROHN'S DISEASE,medcode,me_69959
[X]OTHER CROHN'S DISEASE,readv2_5,re_Jyu40
[X]OTHER CROHN'S DISEASE,readv2_7,re_Jyu4000
[X]OTHER ULCERATIVE COLITIS,aurmedcode,au_303762015
[X]OTHER ULCERATIVE COLITIS,conceptid,co_197535008
[X]OTHER ULCERATIVE COLITIS,conceptid,co_412691000000107
[X]OTHER ULCERATIVE COLITIS,ctv3,ct_YMAKL
[X]OTHER ULCERATIVE COLITIS,medcode,me_53743
[X]OTHER ULCERATIVE COLITIS,readv2_5,re_Jyu41
[X]OTHER ULCERATIVE COLITIS,readv2_7,re_Jyu4100
